tech_pack_id,style_number,fabric_details,construction,wash_instructions
TP-WFX-2911,WFX-2911,"Organic Cotton, 141 GSM, Lavender, Solid",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-2912,WFX-2912,"Cotton/Polyester Fleece 80/20, 306 GSM, Red, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2913,WFX-2913,"French Terry, 288 GSM, Black, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2914,WFX-2914,"Denim 12oz, 414 GSM, Sky Blue, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2915,WFX-2915,"Rayon Challis, 130 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2916,WFX-2916,"Polyester Crepe, 228 GSM, Red, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2917,WFX-2917,"Denim 12oz, 396 GSM, Navy, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2918,WFX-2918,"Cotton/Linen 70/30, 138 GSM, Grey Melange, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2919,WFX-2919,"Cotton Fleece, 394 GSM, Plum, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-2920,WFX-2920,"Linen, 174 GSM, Plum, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2921,WFX-2921,"Nylon Ripstop, 210 GSM, Indigo, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-2922,WFX-2922,"Denim 10oz, 186 GSM, Sky Blue, Solid",Pique Knit,Dry clean only
TP-WFX-2923,WFX-2923,"Cotton/Polyester 60/40, 162 GSM, Charcoal, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2924,WFX-2924,"Cotton Fleece, 377 GSM, Blush Pink, Solid",2x2 Rib,Dry clean only
TP-WFX-2925,WFX-2925,"Loopback Cotton, 320 GSM, Black, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2926,WFX-2926,"Organic Cotton, 214 GSM, Mustard, Printed",2x2 Rib,Dry clean only
TP-WFX-2927,WFX-2927,"Cotton Slub, 168 GSM, Charcoal, Printed",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2928,WFX-2928,"Cotton/Spandex 95/5, 190 GSM, Off White, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2929,WFX-2929,"Denim 12oz, 374 GSM, Black, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2930,WFX-2930,"Cotton Fleece, 321 GSM, Blush Pink, Solid",Dobby Weave,Dry clean only
TP-WFX-2931,WFX-2931,"Polyester Shell, 366 GSM, White, Printed",Single Jersey,Dry clean only
TP-WFX-2932,WFX-2932,"Organic Cotton, 163 GSM, Beige, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2933,WFX-2933,"Cotton/Polyester 60/40, 197 GSM, Brown, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2934,WFX-2934,"Linen, 123 GSM, Black, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2935,WFX-2935,"French Terry, 308 GSM, Grey Melange, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2936,WFX-2936,"Cotton Fleece, 340 GSM, Off White, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2937,WFX-2937,"Denim 12oz, 478 GSM, Black, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2938,WFX-2938,"Viscose, 167 GSM, Grey Melange, Printed",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2939,WFX-2939,"Polyester Shell, 285 GSM, Black, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-2940,WFX-2940,"Cotton Twill, 230 GSM, Grey Melange, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2941,WFX-2941,"Polyester Crepe, 192 GSM, Black, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2942,WFX-2942,"Linen, 146 GSM, Black, Printed",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2943,WFX-2943,"Cotton/Polyester Fleece 80/20, 351 GSM, Blue, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2944,WFX-2944,"French Terry, 295 GSM, Grey Melange, Solid",Single Jersey,Dry clean only
TP-WFX-2945,WFX-2945,"Nylon Ripstop, 262 GSM, Black, Printed",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2946,WFX-2946,"Cotton Twill, 211 GSM, Grey Melange, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2947,WFX-2947,"Cotton Twill, 207 GSM, Yellow, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2948,WFX-2948,"French Terry, 223 GSM, Grey Melange, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2949,WFX-2949,"Cotton/Polyester 60/40, 218 GSM, Sky Blue, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2950,WFX-2950,"Loopback Cotton, 359 GSM, Black, Solid",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2951,WFX-2951,"Cotton Twill, 210 GSM, Charcoal, Printed",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-2952,WFX-2952,"Cotton/Polyester 60/40, 198 GSM, Red, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2953,WFX-2953,"Linen, 137 GSM, Charcoal, Printed",Pique Knit,Dry clean only
TP-WFX-2954,WFX-2954,"Linen, 161 GSM, Navy, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2955,WFX-2955,"100% Cotton, 173 GSM, Plum, Solid",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2956,WFX-2956,"Denim 12oz, 352 GSM, Lavender, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-2957,WFX-2957,"Organic Cotton, 149 GSM, Red, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2958,WFX-2958,"Viscose, 203 GSM, Teal, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2959,WFX-2959,"Rayon Challis, 179 GSM, Grey Melange, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-2960,WFX-2960,"Poly/Viscose Suiting, 205 GSM, Grey Melange, Printed",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2961,WFX-2961,"Denim 12oz, 321 GSM, Red, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2962,WFX-2962,"Polyester Crepe, 190 GSM, Charcoal, Solid",2x2 Rib,Dry clean only
TP-WFX-2963,WFX-2963,"Viscose, 126 GSM, Red, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2964,WFX-2964,"Cotton Fleece, 314 GSM, Off White, Solid",Pique Knit,Dry clean only
TP-WFX-2965,WFX-2965,"Denim 10oz, 229 GSM, Beige, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2966,WFX-2966,"Linen, 129 GSM, Grey Melange, Printed",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2967,WFX-2967,"Stretch Denim 98/2, 378 GSM, Black, Solid",Plain Weave,Dry clean only
TP-WFX-2968,WFX-2968,"Nylon Ripstop, 192 GSM, Black, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2969,WFX-2969,"Polyester Crepe, 200 GSM, Black, Printed",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2970,WFX-2970,"Chino Twill, 271 GSM, Beige, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-2971,WFX-2971,"Polyester Shell, 367 GSM, Charcoal, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2972,WFX-2972,"French Terry, 337 GSM, Plum, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2973,WFX-2973,"Loopback Cotton, 340 GSM, Black, Printed",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2974,WFX-2974,"Nylon Ripstop, 200 GSM, Beige, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2975,WFX-2975,"Linen, 157 GSM, Off White, Solid",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2976,WFX-2976,"French Terry, 190 GSM, Red, Printed",French Terry Loopback,"Hand wash only, dry flat in shade"
TP-WFX-2977,WFX-2977,"Cotton Canvas, 246 GSM, Sky Blue, Printed",French Terry Loopback,"Hand wash only, dry flat in shade"
TP-WFX-2978,WFX-2978,"100% Cotton, 153 GSM, Pink, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2979,WFX-2979,"Denim 12oz, 333 GSM, Navy, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2980,WFX-2980,"Cotton/Linen 70/30, 139 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2981,WFX-2981,"Cotton Canvas, 364 GSM, Brown, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2982,WFX-2982,"Viscose, 156 GSM, Charcoal, Printed",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2983,WFX-2983,"Cotton Voile, 136 GSM, Charcoal, Solid",Satin Weave,Dry clean only
TP-WFX-2984,WFX-2984,"Chino Twill, 276 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2985,WFX-2985,"Cotton Twill, 180 GSM, Grey Melange, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-2986,WFX-2986,"Denim 12oz, 472 GSM, Black, Solid",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2987,WFX-2987,"Loopback Cotton, 284 GSM, Red, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2988,WFX-2988,"Linen, 162 GSM, Black, Solid",Satin Weave,Dry clean only
TP-WFX-2989,WFX-2989,"Chino Twill, 234 GSM, Black, Solid",French Terry Loopback,"Hand wash only, dry flat in shade"
TP-WFX-2990,WFX-2990,"Cotton Twill, 263 GSM, Brown, Printed",Single Jersey,Dry clean only
TP-WFX-2991,WFX-2991,"Viscose, 118 GSM, Black, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2992,WFX-2992,"Organic Cotton, 188 GSM, White, Solid",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2993,WFX-2993,"100% Cotton, 165 GSM, Black, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2994,WFX-2994,"Polyester Pique, 199 GSM, Off White, Printed",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2995,WFX-2995,"Polyester Crepe, 165 GSM, Black, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2996,WFX-2996,"Denim 12oz, 223 GSM, Charcoal, Solid",Pique Knit,Dry clean only
TP-WFX-2997,WFX-2997,"Linen, 160 GSM, White, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2998,WFX-2998,"Cotton Fleece, 339 GSM, Off White, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2999,WFX-2999,"French Terry, 228 GSM, Charcoal, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3000,WFX-3000,"Cotton Twill, 228 GSM, Brown, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-3001,WFX-3001,"Denim 10oz, 164 GSM, Maroon, Solid",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-3002,WFX-3002,"Cotton Fleece, 347 GSM, Black, Printed",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-3003,WFX-3003,"Chambray, 134 GSM, Grey Melange, Printed",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3004,WFX-3004,"French Terry, 348 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3005,WFX-3005,"Polyester Crepe, 141 GSM, Maroon, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-3006,WFX-3006,"Oxford Cotton, 116 GSM, Pink, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-3007,WFX-3007,"Cotton Twill, 186 GSM, Brown, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3008,WFX-3008,"Cotton Twill, 186 GSM, Brown, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-3009,WFX-3009,"French Terry, 289 GSM, Blush Pink, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-3010,WFX-3010,"French Terry, 209 GSM, Black, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-3011,WFX-3011,"Cotton Fleece, 333 GSM, Charcoal, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3012,WFX-3012,"French Terry, 331 GSM, Black, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3013,WFX-3013,"Denim 12oz, 315 GSM, Grey Melange, Solid",Single Jersey,Dry clean only
TP-WFX-3014,WFX-3014,"French Terry, 278 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-3015,WFX-3015,"Organic Cotton, 216 GSM, Off White, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3016,WFX-3016,"Cotton/Spandex 95/5, 181 GSM, Off White, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-3017,WFX-3017,"Nylon Ripstop, 205 GSM, Black, Printed",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3018,WFX-3018,"Nylon Taslan, 366 GSM, Red, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3019,WFX-3019,"Cotton Twill, 262 GSM, Red, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-3020,WFX-3020,"French Terry, 359 GSM, Grey Melange, Printed",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3021,WFX-3021,"Cotton Fleece, 343 GSM, Plum, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3022,WFX-3022,"Chambray, 112 GSM, Black, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3023,WFX-3023,"French Terry, 253 GSM, Red, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3024,WFX-3024,"Cotton Voile, 150 GSM, Black, Solid",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3025,WFX-3025,"Cotton Fleece, 331 GSM, Sky Blue, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3026,WFX-3026,"Cotton/Spandex 95/5, 221 GSM, White, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3027,WFX-3027,"Cotton Voile, 155 GSM, Blue, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3028,WFX-3028,"Cotton Voile, 124 GSM, Charcoal, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-3029,WFX-3029,"Linen, 118 GSM, Grey Melange, Printed",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-3030,WFX-3030,"100% Cotton, 146 GSM, Red, Printed",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-3031,WFX-3031,"Polyester Crepe, 197 GSM, Red, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-3032,WFX-3032,"Cotton Fleece, 321 GSM, Black, Solid",Single Jersey,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3033,WFX-3033,"Cotton/Spandex 95/5, 190 GSM, Forest Green, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3034,WFX-3034,"Cotton Poplin, 114 GSM, Grey Melange, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-3035,WFX-3035,"Stretch Denim 98/2, 438 GSM, Charcoal, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-3036,WFX-3036,"French Terry, 285 GSM, Charcoal, Printed",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3037,WFX-3037,"Nylon Ripstop, 222 GSM, Grey Melange, Solid",French Terry Loopback,Dry clean only
TP-WFX-3038,WFX-3038,"Rayon Challis, 164 GSM, Black, Printed",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3039,WFX-3039,"Cotton Pique, 201 GSM, Off White, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3040,WFX-3040,"Stretch Denim 98/2, 379 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3041,WFX-3041,"Polyester Shell, 368 GSM, Mustard, Solid",Single Jersey,Dry clean only
TP-WFX-3042,WFX-3042,"Cotton Fleece, 332 GSM, Black, Solid",Dobby Weave,"Machine wash warm with like colors, line dry"
TP-WFX-3043,WFX-3043,"Viscose, 233 GSM, Grey Melange, Printed",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3044,WFX-3044,"Cotton/Polyester 60/40, 164 GSM, Grey Melange, Solid",Dobby Weave,Dry clean only
TP-WFX-3045,WFX-3045,"Cotton Fleece, 367 GSM, Off White, Printed",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-3046,WFX-3046,"Cotton/Linen 70/30, 141 GSM, Forest Green, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3047,WFX-3047,"Loopback Cotton, 288 GSM, Black, Printed",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-3048,WFX-3048,"French Terry, 321 GSM, Black, Printed",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-3049,WFX-3049,"Cotton/Linen 70/30, 149 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3050,WFX-3050,"Polyester Crepe, 105 GSM, Grey Melange, Printed",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3051,WFX-3051,"French Terry, 297 GSM, Charcoal, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3052,WFX-3052,"Cotton Fleece, 266 GSM, Off White, Solid",Single Jersey,"Machine wash cold inside out, do not iron print"
TP-WFX-3053,WFX-3053,"Oxford Cotton, 159 GSM, Grey Melange, Printed",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3054,WFX-3054,"Chino Twill, 257 GSM, Beige, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3055,WFX-3055,"Nylon Ripstop, 248 GSM, Grey Melange, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3056,WFX-3056,"Cotton Slub, 186 GSM, Brown, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-3057,WFX-3057,"Viscose, 121 GSM, Grey Melange, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-3058,WFX-3058,"100% Cotton, 193 GSM, Pink, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-3059,WFX-3059,"French Terry, 260 GSM, Blue, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3060,WFX-3060,"Polyester Shell, 275 GSM, Grey Melange, Solid",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-3061,WFX-3061,"Organic Cotton, 219 GSM, Red, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-3062,WFX-3062,"Denim 14oz, 349 GSM, Black, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3063,WFX-3063,"Cotton Fleece, 293 GSM, Black, Printed",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-3064,WFX-3064,"French Terry, 271 GSM, Black, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-3065,WFX-3065,"Cotton/Linen 70/30, 118 GSM, Sky Blue, Solid",Plain Weave,Dry clean only
TP-WFX-3066,WFX-3066,"Polyester Pique, 183 GSM, Indigo, Printed",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3067,WFX-3067,"Nylon Ripstop, 237 GSM, Black, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3068,WFX-3068,"Cotton Canvas, 346 GSM, Maroon, Solid",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-3069,WFX-3069,"Cotton Fleece, 283 GSM, Black, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3070,WFX-3070,"Loopback Cotton, 304 GSM, White, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-3071,WFX-3071,"Cotton Fleece, 319 GSM, Off White, Solid",Satin Weave,Dry clean only
TP-WFX-3072,WFX-3072,"Chino Twill, 292 GSM, Mustard, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3073,WFX-3073,"Nylon Ripstop, 262 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-3074,WFX-3074,"Denim 10oz, 258 GSM, Teal, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3075,WFX-3075,"Denim 12oz, 310 GSM, Pink, Solid",Pique Knit,Dry clean only
TP-WFX-3076,WFX-3076,"Cotton/Polyester 60/40, 216 GSM, Black, Solid",Dobby Weave,"Machine wash warm with like colors, line dry"
TP-WFX-3077,WFX-3077,"Nylon Ripstop, 171 GSM, Beige, Printed",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-3078,WFX-3078,"100% Cotton, 187 GSM, Grey Melange, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-3079,WFX-3079,"Polyester Shell, 307 GSM, Plum, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3080,WFX-3080,"Polyester Shell, 272 GSM, Red, Solid",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3081,WFX-3081,"French Terry, 347 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3082,WFX-3082,"Cotton Twill, 213 GSM, Grey Melange, Printed",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3083,WFX-3083,"Denim 12oz, 356 GSM, Pink, Printed",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3084,WFX-3084,"Cotton Fleece, 281 GSM, Grey Melange, Solid",Single Jersey,Dry clean only
TP-WFX-3085,WFX-3085,"Cotton Twill, 280 GSM, Black, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3086,WFX-3086,"Chambray, 138 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3087,WFX-3087,"Nylon Taslan, 329 GSM, Charcoal, Solid",Dobby Weave,Dry clean only
TP-WFX-3088,WFX-3088,"Loopback Cotton, 285 GSM, Olive, Solid",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3089,WFX-3089,"Stretch Denim 98/2, 459 GSM, Black, Solid",French Terry Loopback,Dry clean only
TP-WFX-3090,WFX-3090,"Rayon Challis, 118 GSM, Grey Melange, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3091,WFX-3091,"Loopback Cotton, 322 GSM, Black, Printed",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3092,WFX-3092,"Nylon Ripstop, 237 GSM, Grey Melange, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-3093,WFX-3093,"Loopback Cotton, 328 GSM, Black, Solid",French Terry Loopback,Dry clean only
TP-WFX-3094,WFX-3094,"Cotton/Linen 70/30, 114 GSM, Grey Melange, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3095,WFX-3095,"French Terry, 344 GSM, Charcoal, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-3096,WFX-3096,"Denim 14oz, 423 GSM, Black, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-3097,WFX-3097,"Stretch Denim 98/2, 437 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash cold inside out, do not iron print"
TP-WFX-3098,WFX-3098,"Rayon Challis, 119 GSM, Red, Printed",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3099,WFX-3099,"Cotton Fleece, 300 GSM, Navy, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-3100,WFX-3100,"Cotton Twill, 218 GSM, Charcoal, Printed",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-3101,WFX-3101,"Cotton Fleece, 370 GSM, Grey Melange, Solid",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3102,WFX-3102,"Cotton Slub, 220 GSM, Grey Melange, Solid",Plain Weave,"Hand wash only, dry flat in shade"
TP-WFX-3103,WFX-3103,"Cotton Fleece, 304 GSM, Coral, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3104,WFX-3104,"Cotton/Polyester 60/40, 141 GSM, Grey Melange, Printed",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3105,WFX-3105,"Cotton/Polyester 60/40, 193 GSM, Grey Melange, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3106,WFX-3106,"Cotton Slub, 210 GSM, Off White, Solid",Single Jersey,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3107,WFX-3107,"Oxford Cotton, 155 GSM, Charcoal, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-3108,WFX-3108,"Polyester Pique, 210 GSM, Beige, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3109,WFX-3109,"Cotton/Linen 70/30, 143 GSM, Navy, Printed",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-3110,WFX-3110,"Cotton Fleece, 266 GSM, Pink, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-3111,WFX-3111,"Loopback Cotton, 305 GSM, Plum, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-3112,WFX-3112,"100% Cotton, 220 GSM, Black, Printed",2x2 Rib,Dry clean only
TP-WFX-3113,WFX-3113,"Denim 10oz, 150 GSM, Red, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-3114,WFX-3114,"Cotton/Spandex 95/5, 180 GSM, Blue, Solid",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-3115,WFX-3115,"Oxford Cotton, 126 GSM, Off White, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-3116,WFX-3116,"Cotton Twill, 218 GSM, Plum, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
